country,league,season,date,time,home_team,away_team,home_goals,away_goals,result,status,ps_home_odds,ps_draw_odds,ps_away_odds,max_home_odds,max_draw_odds,max_away_odds,avg_home_odds,avg_draw_odds,avg_away_odds,league_code,league_name_pl,result_1x2,is_played,is_future,source_file
,P1,,2023-08-11,20:15,Sp Braga,Famalicao,1.0,2.0,A,,1.53,4.51,6.36,1.53,4.9,7.2,1.49,4.48,6.24,POR,Portugalia,2,True,False,PORTUGAL_2324.csv
,P1,,2023-08-12,15:30,Gil Vicente,Portimonense,5.0,0.0,H,,1.86,3.68,4.52,1.94,3.8,4.52,1.83,3.62,4.27,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-08-12,18:00,Farense,Casa Pia,0.0,3.0,A,,2.61,3.09,3.12,2.61,3.24,3.23,2.46,3.07,3.1,POR,Portugalia,2,True,False,PORTUGAL_2324.csv
,P1,,2023-08-12,20:30,Sp Lisbon,Vizela,3.0,2.0,H,,1.22,7.1,13.49,1.22,7.3,18.5,1.2,6.63,14.04,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-08-13,15:30,Rio Ave,Chaves,2.0,0.0,H,,1.93,3.5,4.44,1.96,3.56,4.44,1.9,3.44,4.17,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-08-13,18:00,Estrela,Guimaraes,0.0,1.0,A,,2.58,3.24,3.02,2.58,3.43,3.12,2.48,3.17,2.96,POR,Portugalia,2,True,False,PORTUGAL_2324.csv
,P1,,2023-08-13,20:30,Arouca,Estoril,4.0,3.0,H,,2.02,3.35,4.25,2.1,3.42,4.25,2.01,3.3,3.91,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-08-14,20:45,Boavista,Benfica,3.0,2.0,H,,10.53,5.58,1.32,11.0,6.0,1.36,9.44,5.31,1.31,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-08-14,18:45,Moreirense,Porto,1.0,2.0,A,,8.35,5.29,1.37,9.0,5.4,1.46,7.87,5.01,1.37,POR,Portugalia,2,True,False,PORTUGAL_2324.csv
,P1,,2023-08-18,20:15,Casa Pia,Sp Lisbon,1.0,2.0,A,,9.41,5.11,1.37,10.3,5.11,1.43,8.68,4.86,1.36,POR,Portugalia,2,True,False,PORTUGAL_2324.csv
,P1,,2023-08-19,15:30,Guimaraes,Gil Vicente,2.0,1.0,H,,2.07,3.44,3.93,2.2,3.51,3.93,2.11,3.31,3.6,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-08-19,18:00,Chaves,Sp Braga,2.0,4.0,A,,5.98,4.61,1.54,6.5,4.63,1.6,5.83,4.31,1.52,POR,Portugalia,2,True,False,PORTUGAL_2324.csv
,P1,,2023-08-19,20:30,Benfica,Estrela,2.0,0.0,H,,1.15,8.86,19.04,1.17,8.9,21.0,1.14,8.2,17.16,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-08-19,20:30,Portimonense,Boavista,1.0,4.0,A,,3.35,3.24,2.38,3.39,3.43,2.43,3.14,3.22,2.34,POR,Portugalia,2,True,False,PORTUGAL_2324.csv
,P1,,2023-08-20,20:30,Vizela,Arouca,2.0,2.0,D,,2.2,3.36,3.63,2.37,3.44,3.75,2.2,3.27,3.4,POR,Portugalia,X,True,False,PORTUGAL_2324.csv
,P1,,2023-08-20,18:00,Porto,Farense,2.0,1.0,H,,1.18,7.86,15.88,1.22,8.1,17.0,1.18,7.18,14.76,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-08-20,15:30,Estoril,Rio Ave,2.0,0.0,H,,2.65,3.2,2.97,2.7,3.27,2.97,2.61,3.14,2.84,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-08-21,20:15,Famalicao,Moreirense,0.0,0.0,D,,2.36,3.38,3.24,2.4,3.43,3.32,2.32,3.31,3.12,POR,Portugalia,X,True,False,PORTUGAL_2324.csv
,P1,,2023-08-25,20:15,Estrela,Estoril,2.0,1.0,H,,2.34,3.3,3.36,2.38,3.43,3.5,2.27,3.25,3.28,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-08-26,15:30,Arouca,Portimonense,1.0,1.0,D,,1.76,3.71,5.1,1.8,3.75,5.23,1.75,3.64,4.85,POR,Portugalia,X,True,False,PORTUGAL_2324.csv
,P1,,2023-08-26,18:00,Farense,Chaves,5.0,0.0,H,,2.1,3.63,3.62,2.1,3.64,3.98,2.06,3.49,3.56,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-08-26,20:30,Gil Vicente,Benfica,2.0,3.0,A,,10.48,6.21,1.28,11.0,6.71,1.3,9.74,5.93,1.27,POR,Portugalia,2,True,False,PORTUGAL_2324.csv
,P1,,2023-08-27,15:30,Boavista,Casa Pia,1.0,1.0,D,,2.52,3.21,3.13,2.6,3.26,3.13,2.44,3.14,3.03,POR,Portugalia,X,True,False,PORTUGAL_2324.csv
,P1,,2023-08-27,18:00,Guimaraes,Vizela,2.0,0.0,H,,2.12,3.34,3.87,2.12,3.5,4.57,1.97,3.38,3.98,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-08-27,20:30,Sp Lisbon,Famalicao,1.0,0.0,H,,1.22,6.91,13.33,1.26,6.91,13.33,1.23,6.21,11.85,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-08-28,20:15,Rio Ave,Porto,1.0,2.0,A,,8.07,4.55,1.45,9.9,4.75,1.47,7.84,4.53,1.42,POR,Portugalia,2,True,False,PORTUGAL_2324.csv
,P1,,2023-09-01,20:15,Vizela,Gil Vicente,1.0,0.0,H,,2.22,3.47,3.45,2.32,3.72,3.45,2.19,3.41,3.29,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-09-02,20:30,Benfica,Guimaraes,4.0,0.0,H,,1.26,6.48,11.28,1.3,6.7,13.0,1.25,6.11,10.79,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-09-02,18:00,Portimonense,Estrela,1.0,1.0,D,,2.62,3.31,2.92,2.72,3.38,2.95,2.58,3.23,2.81,POR,Portugalia,X,True,False,PORTUGAL_2324.csv
,P1,,2023-09-02,15:30,Casa Pia,Rio Ave,1.0,1.0,D,,2.12,3.35,3.89,2.26,3.63,3.89,2.17,3.3,3.45,POR,Portugalia,X,True,False,PORTUGAL_2324.csv
,P1,,2023-09-02,18:00,Famalicao,Farense,1.0,0.0,H,,2.56,3.24,3.04,2.56,3.38,3.5,2.34,3.22,3.14,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-09-03,15:30,Chaves,Moreirense,1.0,2.0,A,,3.06,3.53,2.39,3.06,3.65,2.5,2.88,3.41,2.4,POR,Portugalia,2,True,False,PORTUGAL_2324.csv
,P1,,2023-09-03,15:30,Estoril,Boavista,1.0,2.0,A,,2.65,3.28,2.89,2.8,3.35,2.93,2.58,3.24,2.79,POR,Portugalia,2,True,False,PORTUGAL_2324.csv
,P1,,2023-09-03,18:00,Porto,Arouca,1.0,1.0,D,,1.18,7.54,17.06,1.22,7.55,17.06,1.19,6.84,14.26,POR,Portugalia,X,True,False,PORTUGAL_2324.csv
,P1,,2023-09-03,20:30,Sp Braga,Sp Lisbon,1.0,1.0,D,,3.4,3.88,2.1,3.46,4.11,2.11,3.32,3.71,2.07,POR,Portugalia,X,True,False,PORTUGAL_2324.csv
,P1,,2023-09-09,18:00,Moreirense,Sp Braga,2.0,3.0,A,,3.71,3.71,2.04,4.01,3.86,2.08,3.63,3.65,1.98,POR,Portugalia,2,True,False,PORTUGAL_2324.csv
,P1,,2023-09-15,19:15,Estrela,Porto,0.0,1.0,A,,6.76,4.48,1.51,6.76,4.7,1.56,6.26,4.33,1.51,POR,Portugalia,2,True,False,PORTUGAL_2324.csv
,P1,,2023-09-16,15:30,Rio Ave,Famalicao,1.0,1.0,D,,2.78,3.18,2.83,2.78,3.42,3.11,2.57,3.16,2.88,POR,Portugalia,X,True,False,PORTUGAL_2324.csv
,P1,,2023-09-16,18:00,Farense,Sp Braga,3.0,1.0,H,,4.7,4.0,1.76,5.0,4.2,1.76,4.51,3.96,1.72,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-09-16,20:30,Vizela,Benfica,1.0,2.0,A,,7.93,5.65,1.37,8.5,5.8,1.39,7.87,5.26,1.35,POR,Portugalia,2,True,False,PORTUGAL_2324.csv
,P1,,2023-09-17,18:00,Guimaraes,Portimonense,1.0,2.0,A,,1.54,4.29,6.68,1.57,4.4,6.8,1.53,4.17,6.25,POR,Portugalia,2,True,False,PORTUGAL_2324.csv
,P1,,2023-09-17,20:30,Sp Lisbon,Moreirense,3.0,0.0,H,,1.24,6.7,12.25,1.29,6.9,13.0,1.24,6.23,11.59,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-09-17,15:30,Gil Vicente,Estoril,5.0,3.0,H,,2.05,3.53,3.87,2.1,3.62,3.89,2.03,3.5,3.61,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-09-17,15:30,Arouca,Casa Pia,0.0,1.0,A,,2.93,3.23,2.66,2.94,3.3,2.79,2.77,3.18,2.64,POR,Portugalia,2,True,False,PORTUGAL_2324.csv
,P1,,2023-09-18,20:15,Boavista,Chaves,4.0,1.0,H,,1.74,3.72,5.39,1.74,4.01,5.5,1.7,3.74,5.01,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-09-22,20:15,Famalicao,Arouca,1.0,0.0,H,,2.14,3.4,3.74,2.22,3.4,3.8,2.13,3.28,3.58,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-09-23,15:30,Estoril,Vizela,2.0,2.0,D,,2.62,3.49,2.79,2.62,3.53,2.83,2.53,3.41,2.74,POR,Portugalia,X,True,False,PORTUGAL_2324.csv
,P1,,2023-09-23,15:30,Moreirense,Farense,1.0,0.0,H,,2.13,3.55,3.59,2.25,3.58,3.59,2.13,3.44,3.42,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-09-23,18:00,Casa Pia,Guimaraes,0.0,0.0,D,,2.47,3.2,3.22,2.66,3.25,3.22,2.44,3.15,3.04,POR,Portugalia,X,True,False,PORTUGAL_2324.csv
,P1,,2023-09-23,20:30,Porto,Gil Vicente,2.0,1.0,H,,1.25,6.97,10.95,1.28,7.4,12.0,1.24,6.68,10.65,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-09-24,15:30,Chaves,Estrela,2.0,2.0,D,,2.67,3.49,2.73,2.7,3.57,2.78,2.6,3.43,2.66,POR,Portugalia,X,True,False,PORTUGAL_2324.csv
,P1,,2023-09-24,18:00,Portimonense,Benfica,1.0,3.0,A,,13.34,7.72,1.2,15.7,7.73,1.22,12.83,6.94,1.2,POR,Portugalia,2,True,False,PORTUGAL_2324.csv
,P1,,2023-09-24,20:30,Sp Braga,Boavista,4.0,1.0,H,,1.53,4.82,5.9,1.61,4.82,6.6,1.52,4.47,5.73,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-09-25,20:15,Sp Lisbon,Rio Ave,2.0,0.0,H,,1.17,7.84,17.78,1.19,7.93,20.0,1.17,7.31,16.19,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-09-28,20:15,Estrela,Sp Braga,2.0,4.0,A,,4.69,4.22,1.72,5.0,4.22,1.77,4.48,4.05,1.72,POR,Portugalia,2,True,False,PORTUGAL_2324.csv
,P1,,2023-09-29,20:15,Benfica,Porto,1.0,0.0,H,,1.88,3.81,4.27,1.91,3.86,4.4,1.86,3.74,4.04,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-09-30,15:30,Vizela,Portimonense,2.0,3.0,A,,1.78,3.89,4.74,1.79,3.91,4.77,1.75,3.78,4.58,POR,Portugalia,2,True,False,PORTUGAL_2324.csv
,P1,,2023-09-30,18:00,Boavista,Famalicao,2.0,2.0,D,,2.48,3.32,3.1,2.51,3.42,3.1,2.44,3.29,2.95,POR,Portugalia,X,True,False,PORTUGAL_2324.csv
,P1,,2023-09-30,20:30,Farense,Sp Lisbon,2.0,3.0,A,,8.74,5.38,1.37,9.0,5.38,1.4,8.03,5.04,1.37,POR,Portugalia,2,True,False,PORTUGAL_2324.csv
,P1,,2023-10-01,15:30,Arouca,Chaves,0.0,2.0,A,,1.99,3.54,4.11,2.02,3.64,4.37,1.95,3.52,3.93,POR,Portugalia,2,True,False,PORTUGAL_2324.csv
,P1,,2023-10-01,18:00,Guimaraes,Estoril,3.0,2.0,H,,1.83,3.8,4.57,1.85,3.8,4.98,1.8,3.67,4.41,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-10-01,20:30,Rio Ave,Moreirense,0.0,4.0,A,,2.79,3.2,2.81,2.85,3.28,3.03,2.68,3.18,2.73,POR,Portugalia,2,True,False,PORTUGAL_2324.csv
,P1,,2023-10-02,20:15,Gil Vicente,Casa Pia,2.0,0.0,H,,2.47,3.26,3.16,2.6,3.34,3.3,2.44,3.21,3.01,POR,Portugalia,1,True,False,PORTUGAL_2324.csv
,P1,,2023-10-06,20:15,Moreirense,Boavista,1.0,1.0,D,,1.94,3.66,4.15,1.99,3.79,4.15,1.92,3.62,3.88,POR,Portugalia,X,True,False,PORTUGAL_2324.csv
,P1,,2023-10-07,20:30,Estoril,Benfica,0.0,1.0,A,,9.64,6.35,1.29,9.93,6.35,1.34,8.68,5.95,1.3,POR,Portugalia,2,True,False,PORTUGAL_2324.csv
