league,date,time,home_team,away_team,home_goals,away_goals,result,ps_home_odds,ps_draw_odds,ps_away_odds,max_home_odds,max_draw_odds,max_away_odds,avg_home_odds,avg_draw_odds,avg_away_odds,result_1x2,is_played,is_future,source_file,league_code,league_name_pl
SP1,2023-09-02,17:30,Alaves,Valencia,1,0,H,3.33,2.98,2.59,3.46,3.0,2.75,3.2,2.93,2.58,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-02,20:00,Betis,Vallecano,1,0,H,2.09,3.35,4.07,2.14,3.5,4.13,2.06,3.35,3.89,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-02,15:15,Real Madrid,Getafe,2,1,H,1.37,4.91,10.26,1.38,5.1,11.0,1.36,4.89,9.9,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-02,13:00,Sociedad,Granada,5,3,H,1.47,4.54,7.92,1.5,4.75,8.5,1.44,4.52,7.79,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-03,13:00,Girona,Las Palmas,1,0,H,1.74,3.88,5.15,1.76,4.07,5.6,1.71,3.86,5.08,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-03,15:15,Mallorca,Ath Bilbao,0,0,D,3.24,3.02,2.63,3.36,3.1,2.7,3.13,2.98,2.58,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-03,20:00,Osasuna,Barcelona,1,2,A,6.77,4.67,1.5,7.15,4.75,1.53,6.53,4.52,1.5,2,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-15,20:00,Vallecano,Alaves,2,0,H,2.04,3.27,4.41,2.11,3.34,4.58,2.03,3.2,4.22,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-16,15:15,Valencia,Ath Madrid,3,0,H,3.53,3.22,2.33,3.79,3.35,2.33,3.47,3.24,2.23,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-16,20:00,Barcelona,Betis,5,0,H,1.32,6.05,9.44,1.35,6.16,10.0,1.31,5.82,9.36,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-16,13:00,Ath Bilbao,Cadiz,3,0,H,1.61,4.01,6.42,1.67,4.1,7.0,1.58,3.92,6.42,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-16,17:30,Celta,Mallorca,0,1,A,2.13,3.14,4.29,2.15,3.2,4.71,2.08,3.1,4.21,2,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-17,20:00,Real Madrid,Sociedad,2,1,H,1.75,3.77,5.23,1.78,4.0,5.4,1.73,3.79,5.03,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-17,17:30,Sevilla,Las Palmas,1,0,H,1.6,4.15,6.24,1.66,4.33,6.5,1.59,4.08,5.94,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-17,15:15,Villarreal,Almeria,2,1,H,1.53,4.98,5.73,1.53,5.1,6.31,1.5,4.9,5.78,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-17,13:00,Getafe,Osasuna,3,2,H,2.69,2.95,3.21,2.72,2.96,3.4,2.62,2.84,3.25,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-18,20:00,Granada,Girona,2,4,A,3.01,3.58,2.43,3.2,3.65,2.5,2.87,3.51,2.41,2,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-22,20:00,Alaves,Ath Bilbao,0,2,A,4.25,3.1,2.16,4.75,3.21,2.16,4.29,3.1,2.06,2,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-23,13:00,Girona,Mallorca,5,3,H,1.91,3.4,4.88,1.96,3.45,4.95,1.9,3.36,4.58,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-23,15:15,Osasuna,Sevilla,0,0,D,2.45,3.24,3.28,2.61,3.33,3.52,2.37,3.24,3.23,X,True,False,SPAIN_2324.csv,ESP,Esp
