league,date,time,home_team,away_team,home_goals,away_goals,result,ps_home_odds,ps_draw_odds,ps_away_odds,max_home_odds,max_draw_odds,max_away_odds,avg_home_odds,avg_draw_odds,avg_away_odds,result_1x2,is_played,is_future,source_file,league_code,league_name_pl
P1,2023-09-17,20:30,Sp Lisbon,Moreirense,3,0,H,1.24,6.7,12.25,1.29,6.9,13.0,1.24,6.23,11.59,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-09-18,20:15,Boavista,Chaves,4,1,H,1.74,3.72,5.39,1.74,4.01,5.5,1.7,3.74,5.01,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-09-22,20:15,Famalicao,Arouca,1,0,H,2.14,3.4,3.74,2.22,3.4,3.8,2.13,3.28,3.58,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-09-23,20:30,Porto,Gil Vicente,2,1,H,1.25,6.97,10.95,1.28,7.4,12.0,1.24,6.68,10.65,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-09-23,18:00,Casa Pia,Guimaraes,0,0,D,2.47,3.2,3.22,2.66,3.25,3.22,2.44,3.15,3.04,X,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-09-23,15:30,Moreirense,Farense,1,0,H,2.13,3.55,3.59,2.25,3.58,3.59,2.13,3.44,3.42,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-09-23,15:30,Estoril,Vizela,2,2,D,2.62,3.49,2.79,2.62,3.53,2.83,2.53,3.41,2.74,X,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-09-24,15:30,Chaves,Estrela,2,2,D,2.67,3.49,2.73,2.7,3.57,2.78,2.6,3.43,2.66,X,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-09-24,18:00,Portimonense,Benfica,1,3,A,13.34,7.72,1.2,15.7,7.73,1.22,12.83,6.94,1.2,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-09-24,20:30,Sp Braga,Boavista,4,1,H,1.53,4.82,5.9,1.61,4.82,6.6,1.52,4.47,5.73,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-09-25,20:15,Sp Lisbon,Rio Ave,2,0,H,1.17,7.84,17.78,1.19,7.93,20.0,1.17,7.31,16.19,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-09-28,20:15,Estrela,Sp Braga,2,4,A,4.69,4.22,1.72,5.0,4.22,1.77,4.48,4.05,1.72,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-09-29,20:15,Benfica,Porto,1,0,H,1.88,3.81,4.27,1.91,3.86,4.4,1.86,3.74,4.04,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-09-30,20:30,Farense,Sp Lisbon,2,3,A,8.74,5.38,1.37,9.0,5.38,1.4,8.03,5.04,1.37,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-09-30,15:30,Vizela,Portimonense,2,3,A,1.78,3.89,4.74,1.79,3.91,4.77,1.75,3.78,4.58,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-09-30,18:00,Boavista,Famalicao,2,2,D,2.48,3.32,3.1,2.51,3.42,3.1,2.44,3.29,2.95,X,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-10-01,15:30,Arouca,Chaves,0,2,A,1.99,3.54,4.11,2.02,3.64,4.37,1.95,3.52,3.93,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-10-01,18:00,Guimaraes,Estoril,3,2,H,1.83,3.8,4.57,1.85,3.8,4.98,1.8,3.67,4.41,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-10-01,20:30,Rio Ave,Moreirense,0,4,A,2.79,3.2,2.81,2.85,3.28,3.03,2.68,3.18,2.73,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-10-02,20:15,Gil Vicente,Casa Pia,2,0,H,2.47,3.26,3.16,2.6,3.34,3.3,2.44,3.21,3.01,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-10-06,20:15,Moreirense,Boavista,1,1,D,1.94,3.66,4.15,1.99,3.79,4.15,1.92,3.62,3.88,X,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-10-07,20:30,Estoril,Benfica,0,1,A,9.64,6.35,1.29,9.93,6.35,1.34,8.68,5.95,1.3,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-10-07,18:00,Sp Braga,Rio Ave,2,1,H,1.29,5.99,10.77,1.36,5.99,10.77,1.3,5.54,9.34,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-10-07,15:30,Chaves,Gil Vicente,4,2,H,2.74,3.65,2.58,2.81,3.65,2.62,2.68,3.5,2.53,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-10-07,15:30,Farense,Vizela,0,0,D,2.32,3.47,3.24,2.37,3.5,3.28,2.29,3.37,3.11,X,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-10-08,20:30,Sp Lisbon,Arouca,2,1,H,1.18,7.75,16.17,1.21,7.75,17.6,1.18,6.99,14.9,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-10-08,15:30,Casa Pia,Estrela,0,1,A,2.16,3.47,3.61,2.2,3.5,3.74,2.11,3.38,3.49,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
